Team,BasePoints,BonusPoints,Penalty,Score,Rank,currentcount,totalcount
Charlie27,15,0,0,15,1,0,37
CosdynAkers,15,0,0,15,2,1,37
CupcakeMan,15,0,0,15,3,2,37
Draize,15,0,0,15,4,3,37
"El_Diablo",15,0,0,15,5,4,37
FosterKitty,15,0,0,15,6,5,37
GVegas,15,0,0,15,7,6,37
"Mr. Young",15,0,0,15,8,7,37
Noltari,15,0,0,15,9,8,37
"Payton.Williams",15,0,0,15,10,9,37
Rayhud,15,0,0,15,11,10,37
"Tater Salad",15,0,0,15,12,11,37
buffalobuffalobuffalo,15,0,0,15,13,12,37
"chris.shepard",15,0,0,15,14,13,37
evilbotnet,15,0,0,15,15,14,37
harringtonjd,15,0,0,15,16,15,37
jhaubrich,15,0,0,15,17,16,37
jlok327,15,0,0,15,18,17,37
"kirk.ed.carter",15,0,0,15,19,18,37
ksbickm,15,0,0,15,20,19,37
mbledsoe,15,0,0,15,21,20,37
mechanic,15,0,0,15,22,21,37
"paul.cazier",15,0,0,15,23,22,37
ryanm,15,0,0,15,24,23,37
shlacker12,15,0,0,15,25,24,37
stewie,15,0,0,15,26,25,37
tdignan,15,0,0,15,27,26,37
th3d0n,15,0,0,15,28,27,37
Axon888,10,0,0,10,29,28,37
Chimeras1,10,0,0,10,30,29,37
Randall,10,0,0,10,31,30,37
shombo,10,0,0,10,32,31,37
ADKleeman,5,0,0,5,33,32,37
"alex.samuels",5,0,0,5,34,33,37
skrittles,5,0,0,5,35,34,37
testuser,5,0,0,5,36,35,37
"CPT Drew",0,0,0,0,37,36,37
